,UMAP_1,UMAP_2,cluster,dbscan_cluster
0,-4.477591,16.23998,0,0
1,14.479293,-2.5387237,1,1
2,-1.9624757,19.257143,2,2
3,16.067223,-3.5624044,1,1
4,12.245742,-0.9010093,1,1
5,1.9110761,-8.558363,3,3
6,0.10655132,-10.302572,4,4
7,-8.840244,6.7209206,5,5
8,14.423585,6.5759583,6,6
9,11.590794,12.418029,7,7
10,-1.9568025,1.0843798,8,8
11,11.342513,-9.285976,9,9
12,1.5598211,18.68055,10,10
13,-1.461241,23.271385,2,2
14,-2.418476,-4.619971,11,11
15,13.136294,16.529797,12,12
16,-5.7691374,3.1046262,13,13
17,13.098552,6.076085,6,6
18,2.2119286,-0.78579384,14,14
19,8.06963,-1.718176,15,15
20,9.763274,-4.1357536,15,15
21,16.59132,-3.842113,1,1
22,-9.477841,-1.4979217,13,13
23,-3.4260926,21.262321,2,2
24,-5.183295,-4.71009,11,11
25,7.7311826,18.819607,16,16
26,0.9465537,2.4784842,8,8
27,21.40334,-2.1117141,17,17
28,13.822717,2.8189068,18,18
29,-4.9844756,-4.6133456,11,11
30,-3.242016,10.331515,19,19
31,13.777883,2.8401122,18,18
32,11.150011,-4.6277113,15,15
33,-5.830991,3.009153,13,13
34,0.23048422,0.023582492,14,14
35,-0.6527388,6.4628577,20,20
36,20.904242,9.898156,21,21
37,0.18383631,-10.253002,4,4
38,-3.0141747,14.433707,0,0
39,-3.0112987,14.432383,0,0
40,-11.702401,7.509012,5,5
41,-2.6847758,-10.2911,4,4
42,-6.555445,1.8788143,13,13
43,13.4709215,6.075516,6,6
44,-1.9199862,-4.767074,11,11
45,10.408645,-9.101933,9,9
46,10.661084,-9.143212,9,9
47,-3.408509,21.003435,2,2
48,7.9962115,-10.217661,9,9
49,20.56518,-0.2887532,17,17
50,15.385277,-3.1305363,1,1
51,14.671734,8.809283,6,6
52,-3.5177176,14.481672,0,0
53,19.428366,-8.17124,22,22
54,-2.959695,-10.004365,4,4
55,-5.113498,10.202606,19,19
56,0.059852503,-1.182144,14,14
57,-2.7968192,14.442412,0,0
58,-6.469826,2.0036633,13,13
59,-8.841132,6.720855,5,5
60,-5.225658,3.8731956,13,13
61,10.108028,11.995624,23,23
62,1.9603281,-8.501296,3,3
63,4.6434946,-9.437516,24,24
64,-8.136462,-0.25735563,13,13
65,-4.028769,14.651303,0,0
66,-3.505022,-4.384562,11,11
67,0.8548117,6.8439646,20,20
68,-3.3734343,21.820362,2,2
69,18.89743,-9.058078,22,22
70,4.6827736,-9.694272,24,24
71,0.4396108,0.31087822,14,14
72,-9.268589,6.8148932,5,5
73,9.357633,-3.9211502,15,15
74,-3.3241675,-4.393223,11,11
75,10.075574,-9.051128,9,9
76,17.188173,-4.1540985,1,1
77,-3.00685,22.544514,2,2
78,-1.3811314,14.542728,0,0
79,-3.1012533,-4.4327135,11,11
80,0.39169633,-1.4855233,14,14
81,1.1676127,6.9739194,20,20
82,1.8398066,-1.1807325,14,14
83,20.436302,-4.2049375,25,25
84,10.684798,4.2027235,18,18
85,0.7082163,0.55455226,14,14
86,13.453979,6.066269,6,6
87,-1.470466,14.598122,0,0
88,1.3163531,22.807867,2,2
89,-3.3538651,10.293181,19,19
90,13.46994,18.84952,12,12
91,19.435152,-8.182659,22,22
92,12.458265,6.223268,6,6
93,10.561425,4.3125486,18,18
94,19.169659,9.693968,21,21
95,-6.0523024,-5.552952,11,11
96,6.3787155,-14.641701,26,26
97,14.8627825,-2.7925353,1,1
98,-3.7015347,5.3376317,13,13
99,19.566206,-8.297132,22,22
100,1.9270006,-1.1001028,14,14
101,-3.3772168,20.85642,2,2
102,-2.619591,19.76805,2,2
103,14.563881,8.86923,6,6
104,14.172046,12.788221,7,7
105,7.784614,18.689165,16,16
106,8.8488035,11.277453,23,23
107,-6.5176344,1.934122,13,13
108,-4.621069,10.18152,19,19
109,2.1136496,-8.386656,3,3
110,-1.0647705,2.0311613,8,8
111,-9.67227,6.864011,5,5
112,9.672354,5.6872044,18,18
113,12.12262,8.836147,18,18
114,12.117568,8.831409,18,18
115,12.129976,8.843851,18,18
116,13.664639,17.975698,12,12
117,13.659619,17.954712,12,12
118,-5.3427124,3.730769,13,13
119,-1.2848271,-7.5561748,27,27
120,9.400663,16.809214,16,16
121,-9.217222,-1.272237,13,13
122,-9.219176,-1.2740173,13,13
123,13.093777,-12.171675,28,28
124,-5.783284,-5.2808623,11,11
125,-5.7930403,-5.2912164,11,11
126,-5.79038,-5.2882724,11,11
127,-5.7915115,-5.2889004,11,11
128,-1.600171,14.677058,0,0
129,-1.6311729,14.660743,0,0
130,-1.5990345,14.6785755,0,0
131,-1.5965167,14.680993,0,0
132,-1.6016307,14.677347,0,0
133,-1.5955509,14.677753,0,0
134,10.414956,4.454443,18,18
135,12.63361,6.131833,6,6
136,-0.07277193,-0.7339742,14,14
137,-3.9430618,10.217807,19,19
138,20.827698,-0.5685815,17,17
139,18.242205,21.196398,29,29
140,-6.057491,-5.557935,11,11
141,18.414812,-7.9067297,22,22
142,1.8161222,12.038759,30,30
143,16.510176,2.255399,17,17
144,-2.314986,0.6732686,8,8
145,-2.3096483,0.67795336,8,8
146,-2.3077307,0.68041986,8,8
147,-2.3153687,0.67314595,8,8
148,-2.3046317,0.6839137,8,8
149,4.8789196,-10.581724,24,24
150,15.4930525,-3.2061212,1,1
151,-3.115751,10.3673,19,19
152,-1.1021518,-7.3719544,27,27
153,-4.3300843,14.9494915,0,0
154,13.570024,2.891662,18,18
155,2.066035,-8.391388,3,3
156,2.0745347,-8.382422,3,3
157,2.0845485,-8.372841,3,3
158,2.0546653,-8.403074,3,3
159,9.5946045,11.753296,23,23
160,15.973462,22.423958,29,29
161,-10.093919,6.9099402,5,5
162,20.773571,-0.50433046,17,17
163,20.76018,-0.48871928,17,17
164,22.645653,12.331591,21,21
165,11.612934,12.416802,7,7
166,-11.28864,7.254533,5,5
167,1.4540721,18.652708,10,10
168,22.845705,12.743264,21,21
169,22.836903,12.740567,21,21
170,13.636696,2.8769398,18,18
171,-3.21048,20.50744,2,2
172,-10.176652,6.916983,5,5
173,-2.2526507,5.9955735,20,20
174,11.822566,16.023436,12,12
175,12.043202,8.798743,18,18
176,-11.480152,7.3585277,5,5
177,10.924542,4.005669,18,18
178,10.917589,4.010576,18,18
179,-3.2892337,20.655445,2,2
180,-3.2769544,20.651972,2,2
181,-3.2892861,20.655842,2,2
182,19.337845,-8.151125,22,22
183,13.070076,-12.193654,28,28
184,10.557756,7.9646096,18,18
185,-1.8675647,6.141765,20,20
186,13.744291,6.1460977,6,6
187,13.72149,6.1315656,6,6
188,13.139379,12.570256,7,7
189,0.18959571,-0.0330302,14,14
190,2.0336628,7.443663,20,20
191,2.0247781,7.4389405,20,20
192,18.70797,-9.233528,22,22
193,18.696184,-9.246028,22,22
194,18.708763,-9.23205,22,22
195,12.51901,20.395481,12,12
196,-2.0330198,19.306581,2,2
197,19.61521,-8.301387,22,22
198,19.636154,-8.31389,22,22
199,-6.517229,1.932376,13,13
200,-3.4171662,21.617348,2,2
201,4.655678,-9.491802,24,24
202,-1.7557139,19.11835,2,2
203,-1.7632875,19.12257,2,2
204,21.8203,10.754526,21,21
205,7.602811,19.567053,16,16
206,19.037256,19.309298,29,29
207,0.7629499,6.7980185,20,20
208,2.5383542,7.7683015,20,20
209,11.5461445,-9.332372,9,9
210,1.0982171,-1.6167431,14,14
211,-3.3821263,5.5731483,13,13
212,19.714146,-8.217689,22,22
213,19.74531,-8.215368,22,22
214,19.719389,-8.224321,22,22
215,19.70343,-8.240464,22,22
216,19.713562,-8.218433,22,22
217,19.695396,-8.227611,22,22
218,19.721237,-8.215879,22,22
219,19.708155,-8.227009,22,22
220,19.739977,-8.190057,22,22
221,19.728838,-8.188809,22,22
222,19.711264,-8.221857,22,22
223,19.715755,-8.216204,22,22
224,1.0920221,-1.6071188,14,14
225,4.507305,-9.052583,24,24
226,-2.3731856,23.117168,2,2
